path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Favorites/EDX - We Can't Give Up (Official Music Video).mp3,We Can't Give Up,EDX,,,163239,7lBAKSeXGXmMEhLiz0qw9M,https://open.spotify.com/track/7lBAKSeXGXmMEhLiz0qw9M,0.95,We Can't Give Up,EDX
Favorites/Eric Prydz - Pjanoo (Club Mix) (HQ).mp3,Pjanoo (Club Mix),Eric Prydz,,,451004,0noVd1VU93X8TEZMmpR3yN,https://open.spotify.com/track/0noVd1VU93X8TEZMmpR3yN,0.8,Pjanoo - Club Mix,Eric Prydz
Favorites/Favulous - No Diggity.mp3,No Diggity,Favulous,,,208144,0PB8KUQHpc7GveSOaWhGwb,https://open.spotify.com/track/0PB8KUQHpc7GveSOaWhGwb,0.6,No Diggity,Chet Faker
Favorites/Firebeatz - Sky High (Tiësto Edit) [Official Video].mp3,Sky High (Tiesto Edit),Firebeatz,,,157544,7aCurqZaPTpyfjZl4NcsrE,https://open.spotify.com/track/7aCurqZaPTpyfjZl4NcsrE,0.7,Sky High - Tiësto Edit,Firebeatz
Favorites/Fisher - Losing It.mp3,Losing It,Fisher,,,248085,6ho0GyrWZN3mhi9zVRW7xi,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi,1,Losing It,FISHER
Favorites/Fletch (UK) & Matt Moore - Riding Hippos [Zulu Records] - Copy (1).mp3,Riding Hippos [Zulu Records] - Copy (1),Fletch (UK) & Matt Moore,,,412630,0Fu4rQq17lwY9qtQfiH39L,https://open.spotify.com/track/10uuA6CdjqNPx1qlxocPLI,0.714,Lain’s Reverie,DJ Veltro
Favorites/Florian Picasso - This Is Our Time (Official Music Video).mp3,This Is Our Time,Florian Picasso,,,313156,4ek8VufR2cv1KK4wMcWUve,https://open.spotify.com/track/4ek8VufR2cv1KK4wMcWUve,0.9,This Is Our Time,Florian Picasso
Favorites/Flume - Hyperreal feat. Kučka.mp3,Hyperreal feat. Kucka,Flume,,,253257,2Z91RmYAHpoXiGc3S5e8XM,https://open.spotify.com/track/3taR31bNukYke7Eq9rAkL2,0.919,HYPERION,"DANI, Generalen"
Favorites/Foals - Late Night (Solomun Remix) - Copy (1).mp3,Late Night (Solomun Remix) - Copy (1),Foals,,,504790,0l2C9pw5nBeMlzQW8Xz8F9,https://open.spotify.com/track/4Ci892XT7bJaq785HGqV9V,0.997,Tonight I'm Gonna Let Go,Syleena Johnson
Favorites/Fonzerelli - Moonlight Party.mp3,Moonlight Party,Fonzerelli,,,278021,3rxgySZulh3W5IF9wKrPAn,https://open.spotify.com/track/3rxgySZulh3W5IF9wKrPAn,0.9,Moonlight Party,Fonzerelli
Favorites/FormatB  - Chunky.mp3,Chunky,FormatB,,,363729,3McMQ9pHxPt8RKfl6lLCn4,https://open.spotify.com/track/3McMQ9pHxPt8RKfl6lLCn4,0.6,Chunky,Format:B
Favorites/Frances- Borrowed Time (Riton Showtime Remix).mp3,Frances- Borrowed Time (Riton Showtime Remix),,,,244297,2h3vbthG8hYPiHZqXTU55Q,https://open.spotify.com/track/4kOuEHQRPwatEDMEsqw0es,0.637,Borrowed Time,"Woe, Is Me"
"Favorites/Franky Rizardo, Tess Leah - Come Into My Life.mp3",Come Into My Life,"Franky Rizardo, Tess Leah",,,347925,7dbxaM0zrkpYdb8iwh1d0y,https://open.spotify.com/track/7dbxaM0zrkpYdb8iwh1d0y,0.7,Come Into My Life,"Franky Rizardo, Tess Leah"
Favorites/Funkerman ft Enlery - We've Got The Love.mp3,We've Got The Love,Funkerman ft Enlery,,,173087,08PrcY4Yraq77MKKBPE6KM,https://open.spotify.com/track/08PrcY4Yraq77MKKBPE6KM,0.7,We've Got The Love (feat. Enlery),"Funkerman, Enlery"
Favorites/Funkin Matt - Elephant - Copy (1).mp3,Elephant - Copy (1),Funkin Matt,,,248294,6usEl6jH4JbILKTQVjKzFq,https://open.spotify.com/track/6usEl6jH4JbILKTQVjKzFq,0.8,Elephant,Funkin Matt
Favorites/Funkin Matt - Mastic.mp3,Mastic,Funkin Matt,,,156212,7gygdmfP3vZtVxY7FnYfEu,https://open.spotify.com/track/7gygdmfP3vZtVxY7FnYfEu,1,Mastic,Funkin Matt
Favorites/Funkin Matt - Rapture - Copy (1).mp3,Rapture - Copy (1),Funkin Matt,,,246413,5JEZnTlX4kzEIx1rskLBJ1,https://open.spotify.com/track/4z6ygaxvCR8osXCgT2IZa7,0.910,Rapture,"Klaas, The Bossline"
